symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	expressionAtlas	impc
SLC12A2	0.05880927893537669	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4836839913886648
SLC6A4	0.058740352906974526	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48311710097389265	No data
IL2RG	0.058713253274126534	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11888934353156415	0.4531718808996227
LGALS3	0.05870529605096697	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09629623834168079	0.45875471205768936
CD79A	0.058688119972401996	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09600811769379623	0.4586854754946281
APOA1	0.05863715545066678	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48226834107627614	No data
PRKAA1	0.058634258595749694	0.09644890310888381	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HRH2	0.05862560407015719	0.032548374132278526	No data	No data	No data	No data	No data	No data	No data	No data	0.14547855071580268	0.42532358427903044
GTF2I	0.05861814150017985	0.09642239171049247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PYCARD	0.05860004662226161	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08170589919900187	0.4615366602518355
CA2	0.05857172640070844	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40388467334735434	0.3113821545366723
CERKL	0.05846272467850096	0.09616674284011203	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TFF1	0.05845690263622841	0.05048956514970421	No data	No data	No data	No data	No data	No data	No data	No data	0.17886920633102282	0.39779951741716424
MEFV	0.05844265570439409	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20726303875842025	0.4288528948184232
MTPAP	0.058428755086063766	0.09611086543996937	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AMT	0.05832332758234877	0.09593744520179556	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AICDA	0.05805773992252877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15102450355626523	0.43974674245236606
CD19	0.057997277160420926	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07460437651783546	0.4583544909492618
AQP8	0.05798453870509584	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47690081612002394	No data
MTTP	0.057901869094023936	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4762208899557575	No data
GPR15	0.05787451293021739	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.010096769779078665	0.47347170344987083
FCGR2C	0.057822174722090815	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47556543400381185
SNX32	0.05766079176469893	0.09484762409016124	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRAF3IP3	0.05765211222171844	0.09289282761267928	No data	No data	No data	No data	No data	No data	No data	No data	0.03881038576687371	No data
TBX21	0.057613384668293494	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18378903010122485	0.42790095755640467
PRDX5	0.05761060217399869	0.09089254684372461	No data	No data	No data	No data	No data	No data	No data	No data	0.07745038361572053	No data
S100A12	0.057604709407853054	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47377686435828537	No data
C1orf74	0.05759924364408171	0.09474638210528563	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
C17orf78	0.0575735278181796	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47352040762179537	No data
THG1L	0.05755282287077519	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4733501172903485
PROX2	0.05755282287077519	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4733501172903485
PLG	0.057414906647456056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47221580871558166
WBP4	0.05738399043699113	0.09439230692446529	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITPRID2	0.05737723933620716	0.09438120187630769	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GON4L	0.057340489793780605	0.08018636062505256	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2826878208894038
TPRG1	0.057267312112816854	0.09420037994094567	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC28A1	0.057141072317876844	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4699636253202428	No data
SNX9	0.05712795664353954	0.09397115077567753	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NSG2	0.05701336516161853	0.09378265648920411	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KRT24	0.05687450020517465	0.0935542341803008	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGFBP2	0.0568719224241099	0.08607584314072193	No data	No data	No data	No data	No data	No data	No data	No data	0.1494830157093251	No data
FCGR3B	0.05683142463362536	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46741689067981984	No data
PSORS1C2	0.05681996821784899	0.09346453320193303	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENPP3	0.056810812533809665	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018623732461025246	0.4625914308692828
IL25	0.05667055362878621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4660937877421898
OR4F6	0.056661427837003564	0.09320374631390518	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
REG1A	0.0566518603480864	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4659400426056277	No data
C11orf71	0.0566258660581439	0.09314524988799722	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GBP1	0.05658676298641935	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2097760219608202	0.4129606360309341
CD22	0.056535664304833665	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03901588854920734	0.4552304021282021
IL17B	0.05648664804276339	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46458123411975993
HPRT1	0.05647180179582244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4644591293752785
CHCHD10	0.056456591342247696	0.08195026849254	No data	No data	No data	No data	No data	No data	No data	No data	0.21833074682724352	No data
FABP6	0.05641846361371676	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4640204430781273	No data
UBE2V2	0.056211690388714	0.09246396236142827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDX1	0.05619603017613803	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20035969229347572	0.4121010894309776
IL13RA2	0.056186385176560466	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3888712232024347	0.2929618513690402
NRBF2	0.05610050064683305	0.09228106367901609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCTA	0.056094583116153285	0.09227132979038434	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HRURF	0.05608564781207065	0.09225663189365375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NDST2	0.05598766877424351	0.09209546381628037	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
UBE2N	0.05598432691701736	0.09208996671490093	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FNDC1	0.055901685886590634	0.09077993072522442	No data	No data	No data	No data	No data	No data	No data	No data	0.02348195539628639	No data
EIF3C	0.05581492690624061	0.08874225059898513	No data	No data	No data	No data	No data	No data	No data	No data	0.06138131922512617	No data
CREB3L3	0.05574924623613051	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45851638422623664	No data
PAPOLG	0.055747738937264715	0.09170079745306697	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SMIM3	0.05573960155901887	0.0897080444738341	No data	No data	No data	No data	No data	No data	No data	No data	0.03958735219829683	No data
IL17A	0.05571279852178805	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21035995670918392	0.4056266264364139
ANKRD33B	0.05563680343810942	0.09151831698063306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TAF8	0.05555437121973504	0.09138272224074123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IP6K3	0.055544430779710524	0.09136637097170934	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
OSM	0.05551882128018633	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45662122644800385	No data
B3GNT6	0.055500190003448927	0.031358529426214116	No data	No data	No data	No data	No data	No data	No data	No data	0.03870872553650224	0.41296885998366845
CXCL11	0.05547191383182086	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4562354304943381	No data
DNMT3L	0.055318845475531266	0.09099530027572632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADAMTS18	0.05522038512652155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17618581656506135	0.41012024824875976
USH1C	0.055152401714598044	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4536075646379111
MARS2	0.05513363735341269	0.09069064697826844	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AGR3	0.055111492950420844	0.09065422111684007	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ABCC4	0.05508303548001468	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015936493916766215	0.4490529302152381
MCEMP1	0.05502614678803636	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4525691658015822	No data
TRPV3	0.054960677193741585	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1599481180020712	0.41204367374453654
SLC12A1	0.054944432979149985	0.0903794201494813	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
STK4	0.05490806836622316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45159801561247265
CEACAM20	0.054882608420678214	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4513886172266286	No data
NELFE	0.05486431743828751	0.09024763616818406	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NFKB2	0.05485892451165718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.451193826066894
TREM1	0.05484962298959042	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.451117324579362	No data
LPXN	0.05477811907630016	0.09010584640802385	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CARD14	0.054728827860387234	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02203456837656518	0.4446151884092686
SPINK7	0.054686057934388584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4497720641003367
SLC2A2	0.05466557224827683	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4496035771097761	No data
RAD51B	0.054638556895606025	0.08911400857447128	No data	No data	No data	No data	No data	No data	No data	No data	0.015245372873999435	No data
PIGR	0.0546354140714737	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11822812403541247	0.4197985065467368
FPR1	0.05462402379419061	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4492618568494318	No data
GBA1	0.05457545354309537	0.08889194825043813	No data	No data	No data	No data	No data	No data	No data	No data	0.017610574889727983	No data
ATP4A	0.05452781176018091	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4484705493980929
RAC2	0.05452506762054627	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11376840557945755	0.42000587849658877
YY1AP1	0.05449161750802663	0.07550018203869643	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2826878208894038
DNAJC3	0.0544061699921875	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01771251298630927	0.4430419637929536
TRIM46	0.054400359430721426	0.08234840644934331	No data	No data	No data	No data	No data	No data	No data	No data	0.14272108052330246	No data
ZRANB2	0.05436878107743702	0.08886119349627616	No data	No data	No data	No data	No data	No data	No data	No data	0.011426459718434985	No data
MIR155	0.05435595712775252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44705711029364587
RASA1	0.05429811377405154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4465813706705816
CD274	0.05420069541248831	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26450943409863403	0.37965278310845735
NFKBID	0.054195959848995265	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4457411934213157
GNG8	0.054140095803642124	0.08905634657158747	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HCAR3	0.054137696570508084	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44526200007631594	No data
MMP10	0.05399240400819071	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44406702391383013	No data
CUBN	0.05396625450153722	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44385195414967094	No data
SBK1	0.05394592128585561	0.08873694423410207	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RAG1	0.0538605661308689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44298270742715296
EBF1	0.05382959996802419	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04904942754284202	0.43046566560882865
FLG	0.05372174378484642	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06214809194438338	0.4263039233510789
ZNF148	0.05370617619979577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44171290886060827
CPS1	0.05365057689389402	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4412556256787051	No data
ELF3	0.053580250077197626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4406772143120439
APOC3	0.05350309327805906	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4400426289329046	No data
AGXT2	0.053472284597119155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4397892392291674	No data
ENPP7	0.05340442874895387	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32488281570819744	0.35801044671348364
TNFRSF13C	0.05339380739151225	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03825877658330817	0.4295790998623117
CUEDC2	0.05337388040704782	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04709327899896605	0.427206582376766
CR2	0.05333389607204474	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09481125660795213	0.4149482319997921
HMGCS2	0.05330481305298476	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43841184936183103	No data
RUFY4	0.0532886171573503	0.08576182630431103	No data	No data	No data	No data	No data	No data	No data	No data	0.03787805099082153	No data
HSD3B1	0.05326822420800826	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4381109200034217	No data
HCAR2	0.053056777078222456	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43637184764011566	No data
STAT6	0.053041895422206914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43624945166943924
VNN1	0.053034327253786984	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4361872063575578	No data
ARFGEF3	0.05301486013627474	0.08720541934140255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZSWIM8	0.05295916051439079	0.08711379769284851	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CXCL3	0.05293513183019992	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4353713616596352	No data
STX2	0.05280181675024946	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.010758496991001286	0.4315852714944301
GSTA1	0.05279555501052724	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4342233953103317	No data
PSMD3	0.05267876663853515	0.08665257105824269	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ALPI	0.05264943921088966	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.43302164833344203	No data
ATP11C	0.05264665029983578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4329987105988771
TM4SF4	0.05262105598908837	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43278820711025673	No data
IL6	0.05261048211943614	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0.4327012410469007	No data
APC	0.05257857163738144	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43243878944731023
CCDC149	0.05257372614800501	0.08647978742737086	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PERP	0.052568766528883294	0.08647162923051491	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MMP13	0.052565366508099454	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.432330182272498	No data
PI3	0.05250274313020916	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43181512876528694	No data
PRKG2	0.052480744829951916	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43163420109766704	No data
RBM7	0.052476888776904616	0.08632049730507267	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LBP	0.052471642668907505	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.43155933927885337	No data
SEH1L	0.05244988973025547	0.08627608592345617	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GBP2	0.05235664153282015	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07061145026226241	0.4129606360309341
GET1	0.05229359298305907	0.08601898964241492	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD300E	0.05223309019488996	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42959733575020553	No data
KIAA0319	0.052227121453366	0.08590964902345924	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADGRG3	0.05213706225801415	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24719887963904708	0.36700782251813563
PAX5	0.052132693689930246	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02530226977466642	0.4224460451703354
COL19A1	0.052067025894405254	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42823151992760594
GNB2	0.052027906239664815	0.08076714320686584	No data	No data	No data	No data	No data	No data	No data	No data	0.09629623834168079	No data
MLXIPL	0.05201214129485139	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24000898695581768	0.3677778681951104
LAT	0.05197750544071497	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42749524818383194
SH3BP2	0.05196847126648935	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42742094553079046
ENSG00000268734	0.05195679930791645	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4273249481029685	No data
MT-TV	0.051939262208377	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42718071211748837	No data
TM9SF2	0.05188642314966203	0.08534922618414517	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TLR1	0.051849098356296856	0.08456884892610142	No data	No data	No data	No data	No data	No data	No data	No data	0.01437961614290749	No data
ALDOB	0.05168259946408881	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4250697584917094	No data
RNF43	0.05165987208782761	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42488283445076197
BBS12	0.05158422013884885	0.08485212517856947	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEBPE	0.05155094143509378	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020036147137775354	0.4189778844047941
TREX1	0.0515483369941266	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42396550065109917
PGC	0.05151573841812215	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4236973897400175	No data
FCER1G	0.051473687871031466	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22513169742976893	0.36706861559789683
MXRA8	0.051423248256845425	0.08458733865576813	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SFRP5	0.051336315039961423	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4222217005755137	No data
IGHG2	0.05128691929295104	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30944739753388106	0.3444535899267445
CCDC116	0.05122317568734437	0.08425823447106967	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCN1	0.051181477968271924	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4209482244471632	No data
C20orf203	0.0510645635870298	0.08399732960996095	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SNX17	0.05104583468052723	0.08396652198090819	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL11	0.05101180461201228	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4195527255110488	No data
LMBR1L	0.05100017204721542	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41945705208207823
UGT3A1	0.05094874577380681	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4190340905080746	No data
IGHG4	0.050875622210212884	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29591634813306045	0.3444535899267445
JCHAIN	0.050869557944629336	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09759219606330402	0.3939847516621513
EGFL6	0.05079299170920697	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41775307246118715	No data
ENSG00000261012	0.05074799932056713	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41738302714668263	No data
SMTN	0.0507071672249809	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01231512895726418	0.41396841642370813
CNTN1	0.050701526216693014	0.07903768890887404	No data	No data	No data	No data	No data	No data	No data	No data	0.08724943586872973	No data
ACOD1	0.050693626351595925	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41693583012043534	No data
SYT11	0.05069024780851774	0.0804270809730171	No data	No data	No data	No data	No data	No data	No data	No data	0.059090552084992455	No data
CD177	0.05061984452189718	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41632900258357913	No data
STX1B	0.05053665325173851	0.083128957194276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
VAV1	0.05052710983321901	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41556629497736386
ICAM5	0.05046693637783071	0.08301427823051614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL33	0.05043928724004265	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14975543855097395	0.37740512785395436
CLIP4	0.050436795886843966	0.08296469941150392	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMPRSS3	0.050415885147218585	0.07540880856556688	No data	No data	No data	No data	No data	No data	No data	No data	0.15042988534141222	No data
ERBB3	0.050414421721152985	0.08165969262705912	No data	No data	No data	No data	No data	No data	No data	No data	0.02536405961645862	No data
CNTF	0.05041208728478024	0.08292405563730988	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
INHBA	0.05041166361945365	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4146167937000893	No data
MALRD1	0.05038209284871076	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4143735853377307	No data
NLRP12	0.0503723171320711	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10621292946608026	0.38773995141335194
SLC44A4	0.05036359262549744	0.07666973260046794	No data	No data	No data	No data	No data	No data	No data	No data	0.12349106009343254	No data
TNFRSF18	0.050363073610931446	0.07885290217954852	No data	No data	No data	No data	No data	No data	No data	No data	0.0798105937208078	No data
WDR41	0.05034945485029348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4141051501922709
CHADL	0.05030530672007083	0.08274840971654239	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIT	0.050260611597838574	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1474100346831617	0.3765219395007576
BCL10	0.0502593697607141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41336423453268184
GBP3	0.05021029776889763	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4129606360309341
TIGAR	0.050009921837794645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41131262007344194
CD79B	0.04999722333681488	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03512653383365432	0.4024265462656527
AP1M2	0.04993636121354743	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07801657441744894	0.3912034682630782
SPATA31F1	0.049895229837649185	0.08207386438336843	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LYRM7	0.04988876611839633	0.08150465564648417	No data	No data	No data	No data	No data	No data	No data	No data	0.011171528190471238	No data
SOAT2	0.049859976337788575	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4100793752650265	No data
BIVM	0.0497760414396431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4093890425949658
ERCC5	0.0497760414396431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4093890425949658
BIVM-ERCC5	0.0497760414396431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4093890425949658
KRT8	0.04976093871874684	No data	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	0.0686316298935232	0.38535213433606635
MGAM	0.0497466182487164	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40914704802056456	No data
ZAP70	0.04964525202037898	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.033209934337093384	0.40001086569347655
APOBEC3A	0.04961415021277171	0.03981000894484315	No data	No data	No data	No data	No data	No data	No data	No data	0.3582950375374097	No data
CD209	0.04960643546124281	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08296871895024376	0.38725191807860265
TOR4A	0.04955420803557242	0.08151290941379535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC23A1	0.04951456422165882	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4072384917509261	No data
SELE	0.049420087927032695	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4064614600970167	No data
UCN2	0.04941492109609075	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4064189648741867	No data
SRBD1	0.04940142608830077	0.08126159471174063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL5RA	0.04938878317634512	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018905966660923885	0.4014774987427145
LCN2	0.049365218991105186	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40601018393085536	No data
FCER2	0.04934221268012768	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.009869300103031298	0.4033536407320104
TNFSF13B	0.04933258709073603	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06220112859988942	0.3901915167895538
PLA2G12B	0.04928508700013039	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40535112872844087	No data
ERBB2	0.049257243281116976	0.07682966533669797	No data	No data	No data	No data	No data	No data	No data	No data	0.08389519210946178	No data
AGAP1	0.0491735011130661	0.07755443137327907	No data	No data	No data	No data	No data	No data	No data	No data	0.0666448812250172	No data
PRDM8	0.04914670200727212	0.0781565521347071	No data	No data	No data	No data	No data	No data	No data	No data	0.05372081611461933	No data
L1TD1	0.049137500872628935	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4041372888631036	No data
INPP5E	0.049101069250719415	0.08076753052094561	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TFAP2C	0.04903899821425001	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40332714189599883	No data
SPRY2	0.048790495160483886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40128329862681084
ACKR2	0.048692682248037716	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07704247858329147	0.3812182049123073
SMAD4	0.04866627526488153	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4002616371474913
NTS	0.048650761999937155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40013404643317546	No data
ERICH4	0.04848575254948481	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39877690635160185	No data
IL3	0.04847482528666996	0.0797374067527309	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AKR1B10	0.04843091771083964	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09122822775177555	0.37551885368469834
EDEM2	0.04842854613627185	0.07966128106444545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPIB	0.04832900620295489	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1318896836585871	0.36451530624792794
SEC16A	0.04828659128323189	0.07942777611026702	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IDO1	0.04817082624543231	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3961867570674255	No data
